model,features,train_range,test_range,train_rows,test_rows,rows,accuracy,balanced_accuracy,precision_abundant,recall_abundant,f1_abundant,f1_weighted,tn,fp,fn,tp
hist_gradient_boosting,"log_n,tau_n,omega_n,Omega_n,min_prime_factor,max_prime_factor",1-100000,100001-1000000,100000,900000,900000,0.90643,0.9298162652736296,0.7337569644345605,0.9761257014590348,0.8377639540954425,0.9103742196443655,598355,78895,5318,217432
random_forest,"log_n,tau_n,omega_n,Omega_n,min_prime_factor,max_prime_factor",1-100000,100001-1000000,100000,900000,900000,0.9030633333333333,0.9285930773217594,0.7253170071465865,0.9791470258136925,0.8333317413406743,0.9073215289114074,594652,82598,4645,218105
