rule,rows,accuracy,balanced_accuracy,precision_abundant,recall_abundant,f1_abundant,f1_weighted,tn,fp,fn,tp
tau_ge_12,100000,0.82864,0.8597270411738331,0.6006888754502668,0.9213954426295624,0.7272553638505125,0.838424284061958,60018,15187,1949,22846
tau_ge_24,100000,0.86956,0.7531562978380033,0.9153177352088782,0.5222423875781408,0.6650403163679318,0.8560386251455112,74007,1198,11846,12949
log_omega_combo,100000,0.67966,0.7600965507749277,0.4315072381493046,0.9196612220205687,0.587403400309119,0.7008090488830436,45163,30042,1992,22803
omega_ge_4,100000,0.82221,0.7136601791494992,0.6982368896925859,0.49832627545876185,0.5815819820667906,0.8113647892545325,69865,5340,12439,12356
omega_ge_5,100000,0.76946,0.5357837277442866,0.9728408473655622,0.07223230490018148,0.13447965159933925,0.685386380810383,75155,50,23004,1791
